,0
411069.9981122375,4
429937.11622299225,14
25527.492881437163,10
828467.0197131502,2
81282.13374866253,14
286901.29938510153,10
64346.83469692483,12
218884.0016307105,4
328677.5271046563,10
150144.2681904885,4
221352.1557646946,8
441733.9501253283,2
47822.72227589421,1
1428721.9897272368,12
60250.83102223887,0
183689.92819466608,4
46968.0985257383,10
76846.03677695422,4
186119.5722010152,13
368150.1015632879,2
35375.40459811083,6
992176.1641105538,6
70298.58880038762,4
1187031.21569643,3
13629.534646377357,14
589476.8540334178,0
382315.71353041567,2
322970.6781829688,10
44024.84221852021,4
138833.43258286128,4
121413.23226843271,14
170240.0451878435,0
13966.423094525499,1
20436.271866382525,2
1095325.6637519924,2
213657.9150781967,4
15094.147668104257,1
752816.0863880741,8
92716.82302489471,13
239433.86172722606,4
89877.01884846287,4
408750.8685121277,4
129811.11097132872,4
444389.262795837,4
327906.8026837562,4
10445.33350281704,10
188366.7548222919,14
326526.95930701034,13
312114.02830404096,4
95289.06769522233,13
249111.2904936729,10
765455.0363902608,4
159419.7886001974,6
44934.969750967684,14
10631.241825838146,10
484691.5814648464,0
42192.76561053084,14
14239.3036685974,14
23572.941505992345,13
20126.743651621564,2
15151.474269903547,10
893796.9524632002,3
236147.96665253054,1
171693.90282004536,10
38360.33451398935,4
1300471.2157317905,1
120310.59967482943,4
91205.26932795504,13
233728.38965972723,4
280874.3910734362,1
235047.56475638231,14
142684.65525862458,10
149942.22578575893,5
1641883.0094612357,6
310812.0727095914,1
215635.21572585765,14
45986.45065327425,1
232431.04705654708,14
85684.18859071075,2
15161.049966596815,4
33669.49258453253,13
29194.899127273413,0
30560.96777498199,14
532029.6128947729,0
55976.41641026968,10
491762.43394931004,3
43633.275358848354,10
577431.8226767266,0
518086.6010350938,3
154954.55231486284,12
140122.53206363923,10
438141.4319283105,0
23447.745409479176,0
698678.3816559458,4
85331.50100816095,1
15414.340635525958,6
38181.30255146551,13
293290.7217417629,13
395253.6090248334,4
2652019.8410352147,11
1250452.5611430157,2
154372.694422239,0
18259.45054947914,0
485615.42675733607,10
167595.36402506602,0
245977.77521516685,1
244122.2611730072,0
101835.06827086612,13
118270.03542293531,0
89358.92360322956,14
71858.24387693855,13
221161.70714931306,10
123983.67658167415,14
950635.5987644196,8
597923854.1677024,5
403463.8968837828,3
706997.3038132461,2
74464.20681713049,1
304171.2417822391,0
124682.57727672868,3
114909.70864520725,14
267379.5571433203,10
537711.2092467522,6
120435.2756350231,4
122471.13770140633,1
382793.5739274078,3
381047.89600369264,14
1550438.6719227242,11
71341849.07577062,5
33387.78224586655,10
45875.83699453712,10
398037.6032138083,12
371857.9828972148,1
78642.72804848645,10
250967.74050164473,13
30543.004400773018,0
305946.7004143481,2
68286.5427660605,0
2627866.579012275,8
44386.149296287316,3
182269.1101930564,10
74290.46156104753,2
384304.8831038872,14
157262.917377623,4
391734.12329769984,1
114226.07901709943,0
14114.682235182963,4
500566.01226163376,8
145909.83989480304,4
165368.0638630996,0
282390.3124003367,10
112127.11594947935,0
486854.2418559156,13
229703.77497858292,4
269242.4125910353,12
404804.1675007204,1
159347.57130709948,0
21547.97814976247,12
207505.42372272885,3
701141.5978299895,4
305931.32696766604,14
84350.00410560759,6
21363.566663983464,4
363061.80607642996,2
750147.3348889712,2
427511.537138965,10
110715.26051717268,10
55148.821334299384,10
359462.1399196877,13
445774.04116030707,12
801674.8117107182,3
186815.7965987589,14
33328.6005337277,4
493100.9781475219,0
201011.77306910572,10
20746.734955367552,6
319824.21870127204,13
2925387.9929647734,7
35131.66708781442,10
4946237.994070131,6
1624032.1840289442,8
131860.00049020333,10
41494.555509207625,1
259848.46457836282,14
193748.3175575119,1
56157.61133276839,3
243360.1122882621,10
23657.70291287687,13
424352.13200263184,1
137854.45731557524,3
524012.5318444663,14
574647.1781206559,6
82992.79052455678,4
224221.2929246535,0
275336.8146009443,14
98777.79564815077,4
10107.10297500504,13
3182290.356087825,8
840278.5522244377,2
13541.528790487124,13
765000.7443110665,12
298120.52366160165,4
21958.58221235753,1
279937768.7644358,9
150757.37722768006,0
29928.390649025827,6
50322.38824596375,2
438923.84672272805,4
491150.48396172654,10
450646.2544835012,13
115223.79678549843,0
812943.6356216717,2
48370.63486883035,4
411466.1459439909,10
311681.6496563604,3
215109.01261697232,0
618724.0381919544,3
300936.5327879994,1
289205.69429959066,14
84069.5323783938,14
316491.1826415707,13
41905.12206170351,4
52402.1985114837,0
53451.886394980145,1
402797.81671856466,1
7456320.4283525655,6
89497.5838111406,3
55402.57914870352,4
118594.43680298474,10
325304.8018399711,7
159446.82140672323,4
6092498.994514199,11
299896.98215373774,13
18162.59064329341,0
375549.00331808015,13
463254.40074167796,4
160130.36880495935,1
20790.6080474782,10
316513.6189142112,1
981079.9218567619,12
1320568.0093016103,12
236172.06963123113,13
739663.1537263631,0
1907483.9065632941,13
15059.351370946646,3
151189.12343751345,0
67408.2624455668,12
360320.42029200244,2
574134.5065364296,8
25089.93462663415,0
89409.93636959167,10
110701.09903834011,14
85514.34224195113,4
16080.511478686709,1
235984.4094453149,0
1529363.9154345163,12
37340.394829774414,14
295419.5800991356,2
533251.147208247,4
5313567.527409262,6
95612.20523082481,0
975045.4710927395,12
143695.43333890464,3
233886.2256683752,3
