Alpha,lr,Proporcion,Media resta
0.5,0.0004,14/15,2.1085425178410535
0.5,0.0006000000000000001,13/15,1.9468802746144185
0.5,0.0008,11/15,1.3869959871399202
0.5,0.001,11/15,1.8924505096175752
0.5,0.0012000000000000001,12/15,1.826205556250366
0.5,0.0014,12/15,2.11384665669792
0.5,0.0016,13/15,2.389569353225118
0.5,0.0018000000000000002,13/15,2.389569353225118
0.5,0.002,11/15,1.5605224223428775
0.5,0.0022,13/15,2.438177184940392
0.5,0.0024000000000000002,14/15,2.1227698786852667
0.5,0.0026000000000000003,12/15,2.0341403296424736
0.5,0.0028,13/15,1.860208981934334
0.5,0.003,11/15,2.1857443298830446
0.5,0.0032,10/15,1.67870547419335
0.5,0.0034000000000000002,13/15,1.7972930464677954
0.5,0.0036000000000000003,15/15,2.1566492785700055
0.5,0.0038,14/15,2.6578150556176334
0.5,0.004,12/15,1.7013027033349857
0.5,0.004200000000000001,13/15,1.8454967802433695
0.5,0.0044,11/15,1.6327039623677837
0.5,0.0046,13/15,1.929663484121395
0.5,0.0048000000000000004,13/15,1.929663484121395
0.5,0.005,11/15,1.4430429170213905
0.5,0.005200000000000001,11/15,1.4430429170213905
0.5,0.0054,12/15,1.9330568394632086
0.5,0.0056,11/15,2.0593408756848133
0.5,0.0058000000000000005,11/15,2.0593408756848133
0.5,0.006,12/15,2.0002375075702052
0.5,0.006200000000000001,12/15,2.0002375075702052
0.5,0.0064,13/15,2.274480334791691
0.5,0.0066,11/15,1.872143489145298
0.5,0.0068000000000000005,13/15,2.142085094579402
0.5,0.007,14/15,1.9155558534058978
0.5,0.007200000000000001,12/15,1.9044325809920086
0.5,0.0074,12/15,1.9044325809920086
0.5,0.0076,12/15,1.8973073790434285
0.5,0.0078000000000000005,10/15,1.3211536173347829
0.5,0.008,12/15,2.1552934153479653
0.5,0.0082,11/15,2.1057174586625766
0.5,0.008400000000000001,13/15,1.7037913010495322
0.5,0.0086,13/15,1.7589960449937343
0.5,0.0088,11/15,1.783618778496369
0.5,0.009000000000000001,12/15,2.0582234618580366
0.5,0.0092,13/15,1.8356062409762355
0.5,0.0094,12/15,1.974059528882837
0.5,0.009600000000000001,14/15,1.87430680246993
0.5,0.0098,10/15,2.082224915529917
1.0,0.0002,12/15,1.9308863596959123
